250
SS-L|E:/EEG_GUI_OpenBCI/class_images/SS-L.png|0|Direction.LEFT,SS-R|E:/EEG_GUI_OpenBCI/class_images/SS-R.png|1|Direction.RIGHT
1,1083,3583
1,6253,8753
0,11183,13683
0,16233,18733
1,21283,23783
0,26334,28834
1,31264,33764
0,36314,38814
0,41364,43864
1,46414,48914
1,51464,53964
0,56514,59014
0,61565,64065
0,66495,68995
1,71545,74045
0,76595,79095
1,81645,84145
0,86695,89195
1,91745,94245
1,96796,99296
0,101726,104226
1,106776,109276
1,111826,114326
1,116876,119376
1,121926,124426
1,126977,129477
1,131906,134406
1,136957,139457
1,142007,144507
0,147057,149557
1,152107,154607
0,157037,159537
0,162087,164587
0,167137,169637
1,172188,174688
1,177238,179738
1,182288,184788
1,187338,189838
0,192268,194768
1,197318,199818
1,202369,204869
0,207419,209919
0,212469,214969
0,217519,220019
0,222569,225069
0,227499,229999
0,232549,235049
0,237600,240100
1,242650,245150
1,247700,250200
0,252630,255130
0,257680,260180
1,262730,265230
0,267780,270280
1,272831,275331
0,277881,280381
1,282931,285431
0,287981,290481
0,292911,295411
1,297961,300461
1,303081,305581
0,308118,310618
0,313177,315677
0,318106,320606
1,323156,325656
0,328207,330707
1,333257,335757
1,338307,340807
0,343357,345857
0,348406,350906
1,353336,355836
0,358443,360943
0,363493,365993
0,368423,370923
1,373473,375973
0,378523,381023
1,383574,386074
0,388504,391004
0,393554,396054
1,398604,401104
1,403654,406154
0,408704,411204
1,413754,416254
0,418805,421305
1,423855,426355
0,428905,431405
1,433835,436335
0,438885,441385
1,443935,446435
0,448985,451485
0,454036,456536
1,458966,461466
0,464016,466516
0,469066,471566
0,474116,476616
1,479166,481666
1,484217,486717
1,489267,491767
1,494197,496697
1,499247,501747
