250
SS-L|E:/EEG_GUI_OpenBCI/class_images/SS-L.png|0|Direction.LEFT,SS-R|E:/EEG_GUI_OpenBCI/class_images/SS-R.png|1|Direction.RIGHT
1,1083,3583
0,4930,7430
1,8658,11158
1,12506,15006
0,16233,18733
0,20081,22581
1,23809,26309
0,27656,30156
0,31384,33884
1,35111,37611
0,38959,41459
0,42687,45187
0,46534,49034
0,50262,52762
0,54110,56610
1,57837,60337
1,61565,64065
1,65412,67912
1,69140,71640
0,72988,75488
0,76715,79215
1,80563,83063
1,84290,86790
1,88138,90638
0,91866,94366
0,95593,98093
0,99441,101941
0,103289,105789
1,107016,109516
1,110744,113244
1,114592,117092
0,118326,120826
1,122054,124554
1,125902,128402
0,129749,132249
1,133494,135994
0,137221,139721
1,141069,143569
0,144796,147296
0,148524,151024
1,152372,154872
0,156125,158625
1,159973,162473
0,163700,166200
0,167428,169928
0,171276,173776
1,175003,177503
1,178851,181351
1,182578,185078
0,186426,188926
